gene,HiC_1,HiC_2,HiC_3,HiC_4,HiC_5
CRYM,-0.01263474,-0.01177937,-0.014048145,0.031071473,-0.016298573
CRYZ,-0.012635353,-0.011774573,-0.0140543375,-0.011842447,-0.016101073
CS,-0.012635391,-0.011775841,-0.0140536,-0.011845758,-0.016105372
CSAD,-0.012635391,-0.011775835,-0.014053603,-0.011845727,-0.016105428
CSDE1,-0.012635388,-0.011775662,-0.014053696,-0.011845089,-0.01610494
CSE1L,-0.0126353875,-0.011775836,-0.014053565,-0.011845869,-0.016105613
CSF1,-0.012635391,-0.011775799,-0.014053617,-0.011845519,-0.016105482
CSF1R,-0.0126336,-0.011764322,-0.014042147,-0.011841147,-0.016253408
CSF2,-0.012634255,-0.011769537,-0.014046795,-0.0118455775,-0.016184261
CSF2RB,-0.012635384,-0.011775945,-0.01405352,-0.011846085,-0.0161055
CSF3,-0.012635648,-0.011780702,-0.014064159,-0.011841476,-0.016100768
CSF3R,-0.012635391,-0.011775792,-0.014053624,-0.011845478,-0.016105503
CSGALNACT1,-0.012646204,-0.011717729,-0.014186904,-0.0115387095,-0.016979408
CSGALNACT2,-0.012632467,-0.011778343,-0.014063936,-0.011274033,0.1496848
CSH1,-0.01263539,-0.011775819,-0.014053608,-0.011845626,-0.01610559
CSK,-0.01263539,-0.011775819,-0.014053609,-0.011845624,-0.016105594
CSN1S1,-0.012636572,-0.011771894,-0.014056412,-0.011801094,-0.016163802
CSN2,-0.012637434,-0.011768477,-0.014057263,-0.011779556,-0.01620343
CSN3,-0.012641232,-0.011756407,-0.014067401,-0.0116246035,-0.016394638
CSNK1A1,-0.012634086,-0.011769627,-0.014046191,-0.011847972,-0.016179023
CSNK1A1L,-0.012635417,-0.011775648,-0.014053758,-0.011841496,-0.016112085
CSNK1D,-0.012635413,-0.011776249,-0.014054539,-0.011845259,-0.01610517
CSNK1E,-0.012635387,-0.0117758885,-0.014053561,-0.011845876,-0.01610554
CSNK1G1,-0.012635391,-0.01177582,-0.014053612,-0.011845615,-0.016105607
CSNK1G2,-0.01263539,-0.011775819,-0.014053608,-0.011845627,-0.016105589
CSNK1G3,-0.012633098,-0.011766398,-0.014041171,-0.011855833,-0.016213946
CSNK2A1,-0.012635388,-0.011775829,-0.014053584,-0.011845765,-0.016105603
CSNK2A2,-0.012635195,-0.011774065,-0.014048689,-0.0028424498,-0.016166994
CSNK2B,-0.012635405,-0.011775734,-0.014053616,-0.011844835,-0.016107377
CSPG4,-0.01263539,-0.011775819,-0.014053609,-0.011845624,-0.016105592
CSPG5,-0.012634801,-0.011777982,-0.0140551645,-0.011847997,-0.016096095
CSPP1,-0.01263611,-0.011770542,-0.014067148,-0.011830902,-0.016178774
CSRP1,-0.012635385,-0.011775832,-0.014053614,-0.011845255,-0.016105382
CSRP3,-0.012633675,-0.011778377,-0.004376555,-0.011839603,-0.016081575
CST1,-0.012635389,-0.011775823,-0.014053597,-0.01184569,-0.016105596
CST3,-0.01263539,-0.011775822,-0.014053599,-0.011845678,-0.016105596
CST4,-0.01263539,-0.01177582,-0.014053606,-0.011845638,-0.01610559
CST6,-0.01263539,-0.011775819,-0.014053608,-0.011845626,-0.01610559
CSTA,-0.012634011,-0.011780868,-0.014057692,-0.011850319,-0.01608406
CSTB,-0.012635449,-0.011775437,-0.014053126,-0.011846833,-0.01611552
CSTF1,-0.012635386,-0.011775845,-0.014053545,-0.011845986,-0.016105624
CSTF2,-0.008469748,-0.011780173,-0.014028391,-0.011929579,-0.015995173
CSTF2T,-0.012522887,-0.012270706,-0.014283696,-0.013527765,0.27977586
CSTF3,-0.012633587,-0.011777851,0.009485419,-0.01179498,-0.016089726
CTAG1A,-0.012430864,-0.01177592,-0.014052887,-0.011849306,-0.016101146
CTAG1B,-0.0023341146,-0.0117768645,-0.014048118,-0.0118578905,-0.016087314
CTBP1,-0.012639028,-0.011761411,-0.0140571855,-0.011754119,-0.016273445
CTBP2,-0.0126312645,-0.011793803,-0.014056557,-0.011885069,0.010636734
CTBS,-0.012635384,-0.011775455,-0.014053814,-0.011844552,-0.01610423
CTCF,-0.012635137,-0.011775402,-0.014049152,0.0027150626,-0.016185446
CTDNEP1,-0.012635438,-0.0117767155,-0.014055546,-0.011844864,-0.016104702
CTDP1,-0.012629286,-0.011798211,-0.014048469,-0.012030712,-0.01585421
CTDSP1,-0.012635091,-0.011774915,-0.014050167,-0.01185139,-0.016090019
CTDSP2,-0.012635391,-0.011775842,-0.014053598,-0.011845758,-0.016105367
CTF1,-0.012635084,-0.011777606,-0.014050998,0.008757634,-0.016198132
CTH,-0.0126353465,-0.011774466,-0.014054405,-0.011842079,-0.016100548
CTIF,-0.012553403,-0.012076698,-0.013984603,-0.014331707,-0.012728344
CTNNA1,-0.012631896,-0.011759172,-0.014033517,-0.011850445,-0.016303137
CTNNA2,-0.012683003,-0.011463483,-0.014189989,-0.010471171,-0.018816382
CTNNA3,-0.0044612065,-0.049879443,-0.019453444,-0.22007772,24.714657
CTNNB1,-0.01263416,-0.011780264,-0.014057394,-0.011848218,-0.01608463
CTNNBIP1,-0.0126353875,-0.011775816,-0.014053623,-0.011845339,-0.01610542
CTNNBL1,-0.012635384,-0.01177586,-0.014053508,-0.011846199,-0.016105644
CTNND1,-0.012633563,-0.011777542,0.044912368,-0.011772835,-0.016092787
CTNND2,-0.012185515,-0.012394445,-0.013038254,-0.020936282,0.00023541009
CTPS2,0.15025482,-0.011815704,-0.014016437,-0.012277017,-0.01582309
CTR9,-0.01263507,-0.011775651,-0.006127412,-0.011821691,-0.016109793
CTRB1,-0.012635326,-0.011772598,-0.014047635,-0.010806384,-0.01614238
CTRB2,-0.012635326,-0.011772598,-0.014047635,-0.010806384,-0.01614238
CTRL,-0.01263536,-0.011775,-0.014052369,-0.011398996,-0.01611419
CTSA,-0.01263539,-0.011775822,-0.0140536,-0.011845674,-0.016105594
CTSB,-0.012636938,-0.011766775,-0.0140744,-0.011804075,-0.016237019
CTSC,-0.012627523,-0.011809288,0.2903249,-0.012207894,-0.015694022
CTSD,-0.012635237,-0.011777123,-0.013698481,-0.011853704,-0.016088763
CTSE,-0.012635386,-0.011775792,-0.014053648,-0.011845195,-0.01610529
CTSF,-0.01263457,-0.0117753185,-0.0032924083,-0.01186281,-0.016118182
CTSG,-0.012635224,-0.011778297,-0.014051728,-0.011874423,-0.016076334
CTSH,-0.012635391,-0.011775819,-0.01405361,-0.011845624,-0.016105592
CTSK,-0.012635389,-0.011775816,-0.01405362,-0.011845464,-0.016105486
CTSL,-0.012635364,-0.0068731587,-0.014053625,-0.011845078,-0.016106324
CTSO,-0.012636761,-0.01177078,-0.014055806,-0.011803412,-0.016170824
CTSS,-0.012635388,-0.01177582,-0.014053609,-0.011845507,-0.016105495
CTSV,-0.012635359,-0.005709939,-0.014053629,-0.011844949,-0.0161065
CTSZ,-0.012635382,-0.01177587,-0.014053483,-0.011846343,-0.016105657
CTTN,-0.012634473,-0.011779104,0.028673714,-0.011871445,-0.016065693
CTTNBP2,-0.012647321,-0.011719888,-0.01402496,-0.011476208,-0.017223764
CTTNBP2NL,-0.012635388,-0.011775769,-0.014053639,-0.01184519,-0.016105156
CTU1,-0.012635391,-0.011775818,-0.014053608,-0.011845626,-0.01610559
CTU2,-0.01263539,-0.011775819,-0.014053608,-0.011845626,-0.01610559
CUBN,-0.012619771,-0.011837294,-0.014079912,-0.011601043,0.1688549
CUEDC2,-0.012634807,-0.0117780585,-0.014054413,-0.011835427,-0.009369892
CUL1,-0.012708622,-0.011313158,-0.014198391,-0.00722324,-0.023229213
CUL2,-0.012632542,-0.01178627,-0.014058002,-0.011773582,0.024804186
CUL3,-0.012634748,-0.011774993,-0.014046524,-0.011865549,-0.016047703
CUL4A,-0.012636188,-0.01177148,-0.014055255,-0.011780181,-0.016219629
CUL4B,0.00086403725,-0.011779809,-0.01403954,-0.011897741,-0.01604662
CUL5,-0.01261633,-0.011845928,0.056415774,-0.012566331,-0.015283517
CUL9,-0.012635491,-0.011775264,-0.014053641,-0.011840071,-0.01611814
CUX1,-0.012669486,-0.011553188,-0.013952773,-0.01083243,-0.01931145
CWC15,-0.012630762,-0.011807546,0.003224576,-0.012094539,-0.015703911
CWC22,-0.012635063,-0.0117761465,-0.014050162,-0.0118557755,-0.016079834
CWC27,-0.012615955,-0.011683149,-0.013942677,-0.011900504,-0.017231388
CX3CL1,-0.012635273,-0.011774861,-0.014050645,-0.0061529106,-0.016143575
CX3CR1,-0.012634187,-0.011780152,-0.014057489,-0.011847857,-0.016086413
CXADR,-0.0126355775,-0.011774609,-0.014052083,-0.011849443,-0.016136995
CXCL1,-0.012636959,-0.01177043,-0.014056932,-0.011789811,-0.016182253
CXCL10,-0.012637464,-0.011769226,-0.014059154,-0.011761053,-0.016209941
CXCL11,-0.012635829,-0.011774358,-0.014054643,-0.011829083,-0.016127257
CXCL12,-0.0126313325,-0.011788121,-0.014063853,-0.011575468,0.080051415
CXCL13,-0.012639696,-0.011761671,-0.014064146,-0.011679905,-0.016318986
CXCL14,-0.012634537,-0.011773135,-0.014049299,-0.011851133,-0.016133493
CXCL16,-0.01263543,-0.011776577,-0.0140552465,-0.0118449805,-0.016104847
CXCL2,-0.012636542,-0.011771905,-0.01405615,-0.011803662,-0.016162198
CXCL3,-0.0126363635,-0.011772716,-0.014056194,-0.0118062515,-0.016154353
CXCL5,-0.012636445,-0.01177241,-0.014056315,-0.011803719,-0.01615834
CXCL6,-0.012636158,-0.011773355,-0.014055605,-0.01181488,-0.016144015
CXCL8,-0.012636217,-0.01177297,-0.014055348,-0.011816447,-0.016145851
CXCL9,-0.012637464,-0.011769226,-0.014059154,-0.0117610525,-0.016209943
CXCR1,-0.012635257,-0.0117757665,-0.014052187,-0.01184977,-0.01609407
CXCR2,-0.012635286,-0.011775113,-0.014052311,-0.011847352,-0.016099358
CXCR3,-0.009136893,-0.011781326,-0.014045618,-0.011907017,-0.01605917
CXCR4,-0.012635352,-0.0117758,-0.014053167,-0.011846698,-0.016102834
CXCR5,-0.012631296,-0.011781766,-0.009874932,-0.011957062,-0.016054673
CXCR6,-0.0126348445,-0.011777824,-0.014055201,-0.011847477,-0.01609698
CXXC1,-0.012624429,-0.011815953,-0.014044321,-0.01217802,-0.015654882
CXXC5,-0.012634514,-0.0117714405,-0.014048435,-0.01184547,-0.016157985
CYB5A,-0.012627548,-0.011804571,-0.01404699,-0.012083448,-0.015782777
CYB5B,-0.01263522,-0.01177389,-0.014049665,-0.0056231306,-0.01615121
CYB5R1,-0.012635389,-0.011775819,-0.014053613,-0.01184553,-0.016105544
CYB5R2,-0.0126344925,-0.011777434,-0.0031876361,-0.01182878,-0.016089195
CYB5R3,-0.012635387,-0.011775889,-0.014053559,-0.011845893,-0.016105542
CYBA,-0.012635333,-0.011773739,-0.014050265,-0.011252722,-0.016126355
CYBB,0.12687947,-0.0117874015,-0.014042122,-0.011968087,-0.016022233
CYBRD1,-0.012635284,-0.011775445,-0.014052358,-0.011848892,-0.016095066
CYC1,-0.012635402,-0.011775766,-0.01405376,-0.011845257,-0.016106533
CYCS,-0.012636595,-0.011770351,-0.014048037,-0.0118289385,-0.01621432
CYFIP1,-0.012635391,-0.0117758205,-0.014053615,-0.01184561,-0.016105603
CYGB,-0.01263542,-0.011776377,-0.014054823,-0.011845142,-0.016105073
CYLC1,0.0014306302,-0.011783337,-0.014031893,-0.011937417,-0.016011108
CYLC2,-0.012635352,-0.004535209,-0.014053633,-0.0118448185,-0.016106674
CYLD,-0.012634889,-0.011773564,-0.014044261,0.01348699,-0.016253589
CYP11A1,-0.01263539,-0.011775819,-0.014053609,-0.011845625,-0.016105592
CYP11B1,-0.012635487,-0.011775163,-0.014055382,-0.011843501,-0.01611515
CYP11B2,-0.012635411,-0.011775701,-0.01405402,-0.011845188,-0.016107593
CYP17A1,-0.012634932,-0.011777639,-0.014054064,-0.0118391225,-0.010271008
CYP19A1,-0.012635391,-0.011775822,-0.0140536195,-0.011845607,-0.016105605
CYP1A1,-0.01263539,-0.011775819,-0.014053609,-0.011845625,-0.016105592
CYP1A2,-0.012635391,-0.01177582,-0.01405361,-0.011845624,-0.016105594
CYP1B1,-0.0126353465,-0.01177578,-0.014052967,-0.011847132,-0.01610183
CYP24A1,-0.012635389,-0.011775828,-0.014053586,-0.011845756,-0.016105602
CYP26A1,-0.012634851,-0.011777929,-0.014053185,-0.011838491,-0.009161566
CYP27A1,-0.012635095,-0.011775025,-0.014050261,-0.011853359,-0.016082637
CYP2A13,-0.01263539,-0.011775819,-0.014053608,-0.011845626,-0.01610559
CYP2A6,-0.012635391,-0.011775817,-0.014053607,-0.011845626,-0.01610559
CYP2A7,-0.01263539,-0.011775819,-0.014053608,-0.011845626,-0.01610559
CYP2B6,-0.01263539,-0.011775819,-0.014053608,-0.011845626,-0.01610559
CYP2C18,-0.012630883,-0.011794837,-0.014056784,-0.011849412,0.02420303
CYP2C19,-0.012628207,-0.011805618,-0.014058967,-0.011828353,0.051697977
CYP2C8,-0.012633232,-0.011785322,-0.014054628,-0.011871659,-0.0028883596
CYP2C9,-0.012631901,-0.011789608,-0.014055925,-0.011798544,0.026660154
CYP2E1,-0.01263527,-0.0117763765,-0.014053716,-0.01184912,-0.016015587
CYP2J2,-0.0126353605,-0.01177481,-0.014054199,-0.011842834,-0.016101886
CYP2S1,-0.012635391,-0.011775817,-0.014053607,-0.011845626,-0.01610559
CYP3A4,-0.012638029,-0.011758485,-0.014052069,-0.011728866,-0.016353792
CYP3A5,-0.012637387,-0.011764589,-0.014046264,-0.011798394,-0.016290767
CYP4A11,-0.012635384,-0.011775613,-0.014053737,-0.011845023,-0.016104804
CYP4A22,-0.012635386,-0.011775695,-0.014053678,-0.0118452525,-0.0161051
CYP4F2,-0.01263539,-0.011775819,-0.014053608,-0.011845626,-0.01610559
CYP4F22,-0.01263539,-0.011775819,-0.014053608,-0.011845626,-0.01610559
CYP4F8,-0.01263539,-0.011775819,-0.014053608,-0.011845626,-0.01610559
CYP51A1,-0.012637306,-0.0117765125,-0.014027329,-0.0119759,-0.01625025
CYP7B1,-0.012635885,-0.011770485,-0.014067957,-0.011841885,-0.016172817
CYP8B1,-0.012633978,-0.011780963,-0.0140582435,-0.011848839,-0.016084904
CYREN,-0.012647022,-0.011697811,-0.014054572,-0.0112094255,-0.01724758
CYTH2,-0.012635391,-0.011775817,-0.014053606,-0.011845626,-0.01610559
CYTH3,-0.012637124,-0.011766026,-0.014048317,-0.011796841,-0.01626703
CYTH4,-0.012635385,-0.011775926,-0.014053533,-0.011846015,-0.016105516
D2HGDH,-0.012635331,-0.011775081,-0.01405276,-0.011846133,-0.016102346
DAAM1,-0.0126346005,-0.011792335,-0.014040674,-0.012040908,-0.015912155
DAB2,-0.012628487,-0.011764851,-0.0140234325,-0.01193314,-0.01617213
DAB2IP,-0.012635273,0.010518149,-0.014053693,-0.011843109,-0.016108962
DACH1,-0.01265229,-0.01168614,-0.014078675,-0.010666319,-0.018237961
DACT1,-0.012635349,-0.011777651,-0.014052116,-0.011867769,-0.01608437
DAD1,-0.012635417,-0.011776174,-0.014053274,-0.011850303,-0.016101638
DAO,-0.01263539,-0.0117758205,-0.014053607,-0.011845634,-0.016105568
DAOA,-0.012637996,-0.011762236,-0.014056399,-0.011686442,-0.016403418
DAP3,-0.012635388,-0.011775812,-0.014053612,-0.011845451,-0.01610548
DAPK1,-0.012635208,0.022637747,-0.0140537275,-0.011841782,-0.016110746
DAPK2,-0.012635391,-0.01177582,-0.014053612,-0.011845616,-0.016105603
DAPK3,-0.01263539,-0.011775819,-0.014053608,-0.011845626,-0.01610559
DAPP1,-0.012643736,-0.011748923,-0.014075094,-0.011512855,-0.016523445
DAXX,-0.012635398,-0.011775773,-0.014053612,-0.011845173,-0.016106615
DAZAP1,-0.01263539,-0.011775819,-0.014053608,-0.011845626,-0.01610559
DAZL,-0.012634866,-0.01177756,-0.014055855,-0.011844355,-0.01609937
DBF4,-0.012637451,-0.01179432,-0.013997794,-0.012231165,-0.016218849
DBF4B,-0.012635586,-0.011779522,-0.014061607,-0.01184248,-0.016101928
DBH,-0.012635353,-0.004738952,-0.014053633,-0.011844839,-0.016106647
DBN1,-0.01263534,-0.011775609,-0.014053313,-0.011845478,-0.016107654
DBNL,-0.012636308,-0.011768627,-0.014052768,-0.0118033765,-0.016192796
DBP,-0.01263539,-0.011775819,-0.014053608,-0.011845626,-0.01610559
DBR1,-0.01263476,-0.011778158,-0.014055115,-0.011846967,-0.016088553
DBT,-0.012635402,-0.011775647,-0.014053675,-0.011844911,-0.016104737
DCAF1,-0.012627746,-0.011805424,-0.014065217,-0.011896549,-0.015989142
DCAF10,-0.012635264,0.012009747,-0.01405369,-0.011842969,-0.016109155
DCAF11,-0.012635517,-0.011775841,-0.014053433,-0.01184721,-0.016105967
DCAF12,-0.012635327,0.000139729,-0.014053649,-0.011844295,-0.016107377
DCAF13,-0.012635524,-0.011774611,-0.014056635,-0.011843517,-0.016120732
DCAF16,-0.012647708,-0.011726638,-0.014064871,-0.011543643,-0.016671889
DCAF17,-0.012635219,-0.011774979,-0.014051471,-0.011847911,-0.016099354
DCAF4,-0.012635522,-0.011778712,-0.01405101,-0.011882639,-0.016073007
DCAF5,-0.0126472935,-0.0117326975,-0.014075163,-0.011437957,-0.016659226
DCAF6,-0.012635377,-0.011775749,-0.014053694,-0.011844419,-0.01610464
DCAF7,-0.012635433,-0.011776605,-0.014055341,-0.011844911,-0.01610498
DCAF8,-0.012635388,-0.01177581,-0.014053607,-0.011845439,-0.01610543
DCC,-0.001601534,-0.05212109,-0.004663551,-0.34646526,0.4370961
DCK,-0.012639302,-0.011762658,-0.014062514,-0.011701033,-0.016298017
DCLRE1A,-0.012634232,-0.01178043,-0.014054668,-0.011830487,-0.0019584058
DCLRE1C,-0.012634482,-0.011778857,-0.014055709,-0.011800431,0.0018943367
DCN,-0.012635391,-0.01177584,-0.014053596,-0.0118457265,-0.016105376
DCP1A,-0.012632927,-0.011784848,-0.014060531,-0.011854535,-0.01606574
DCP1B,-0.012635393,-0.011775838,-0.014053626,-0.011845391,-0.016104994
DCP2,-0.012634127,-0.011770279,-0.014046662,-0.011849983,-0.016171083
DCPS,-0.012607143,-0.011789163,0.01407018,-0.012550899,-0.016136223
DCT,-0.012669178,-0.011586466,-0.014148807,-0.008537494,-0.021666925
DCTD,-0.012636524,-0.011771543,-0.01405519,-0.011812822,-0.016159032
DCTN1,-0.012635365,-0.011775397,-0.0140529815,-0.011845538,-0.01610561
DCTN2,-0.012635391,-0.011775825,-0.014053606,-0.011845663,-0.016105527
DCTN3,-0.01263537,-0.007845429,-0.014053621,-0.011845187,-0.01610618
DCTN4,-0.012634365,-0.011770275,-0.0140474895,-0.011845558,-0.01617358
DCTN5,-0.012634296,-0.011781003,-0.014043584,0.059199695,-0.01643052
DCTN6,-0.012636081,-0.011772504,-0.014062963,-0.011826056,-0.016161658
DCTPP1,-0.012635216,-0.011776676,-0.014052012,-0.0004467373,-0.01615765
DCUN1D1,-0.012633941,-0.011781294,-0.014056398,-0.011846502,-0.016050799
DCUN1D3,-0.012634159,-0.011782914,-0.014043403,0.070317484,-0.016473588
DCXR,-0.012635404,-0.011776078,-0.014054168,-0.011845404,-0.01610534
DDAH2,-0.01263552,-0.011775101,-0.0140536465,-0.011838439,-0.016121838
DDB1,-0.012633472,-0.011776338,0.007895325,-0.011820789,-0.016111739
DDB2,-0.012634305,-0.011775403,-0.003645462,-0.011856119,-0.016118918
DDC,-0.012638019,-0.011775738,-0.014022083,-0.011977164,-0.016316138
DDHD1,-0.012635454,-0.01178044,-0.014049637,-0.01190321,-0.016052874
DDHD2,-0.012636643,-0.011770096,-0.014067204,-0.011807184,-0.016199132
DDIT3,-0.012635391,-0.011775831,-0.014053604,-0.011845697,-0.016105475
DDIT4,-0.012634768,-0.011778302,-0.014054679,-0.011839899,-0.0103326775
DDIT4L,-0.012637841,-0.011768058,-0.014060214,-0.011745378,-0.0162288
DDN,-0.012635391,-0.011775825,-0.014053606,-0.011845666,-0.016105527
DDO,-0.012636089,-0.011771958,-0.014053815,-0.011806811,-0.016193343
DDOST,-0.01263539,-0.011775812,-0.014053614,-0.011845568,-0.016105544
DDRGK1,-0.01263539,-0.011775821,-0.014053602,-0.01184566,-0.016105594
DDX1,-0.012635336,-0.011775607,-0.014052773,-0.011847628,-0.016099576
DDX11,-0.012635398,-0.01177594,-0.014053568,-0.011846419,-0.01610441
DDX17,-0.0126353875,-0.011775868,-0.014053569,-0.011845812,-0.016105564
DDX18,-0.012635371,-0.01177576,-0.014053297,-0.011845984,-0.016104871
DDX19A,-0.012635203,-0.011774784,-0.014049539,-0.002189564,-0.016164731
DDX19B,-0.012635147,-0.011773094,-0.014047267,-0.0019174432,-0.016178468
DDX20,-0.012635389,-0.011775784,-0.014053628,-0.011845482,-0.016105434
DDX21,-0.012630267,-0.011799069,-0.01405745,-0.011940349,0.0077090897
DDX23,-0.012635391,-0.011775834,-0.014053603,-0.011845718,-0.016105443
DDX24,-0.012635055,-0.011783021,-0.014047957,-0.011930876,-0.016021289
DDX25,-0.012622756,-0.01178326,0.004931381,-0.01216684,-0.01609885
DDX28,-0.012635369,-0.011775303,-0.014052907,-0.011592003,-0.01611049
DDX31,-0.01263531,0.0033412727,-0.014053661,-0.011843936,-0.016107857
DDX39A,-0.01263539,-0.011775819,-0.014053609,-0.011845626,-0.01610559
DDX39B,-0.012635651,-0.011774377,-0.014053686,-0.011831181,-0.016138246
DDX3X,0.06422548,-0.011792561,-0.0140357725,-0.012028,-0.015980737
DDX4,-0.012620667,-0.011675043,-0.013956813,-0.011794384,-0.017421955
DDX41,-0.012634896,-0.011776393,-0.014051972,-0.01185591,-0.016089384
DDX42,-0.012635507,-0.011777974,-0.014058318,-0.011843724,-0.016103702
DDX46,-0.012633649,-0.01176619,-0.014043031,-0.011844355,-0.01622449
DDX47,-0.012635392,-0.011775856,-0.014053596,-0.011845867,-0.016105222
DDX5,-0.012635463,-0.011777181,-0.014056569,-0.011844446,-0.01610432
DDX50,-0.012627842,-0.01180996,-0.014059675,-0.01198031,0.019180574
DDX51,-0.01263539,-0.0117758205,-0.014053607,-0.01184563,-0.016105575
DDX52,-0.012635555,-0.011778945,-0.014060364,-0.011842969,-0.016102502
DDX54,-0.012635391,-0.011775824,-0.014053606,-0.011845658,-0.016105536
DDX56,-0.012635572,-0.011777044,-0.014049201,-0.011873001,-0.016117483
DDX6,-0.012630072,-0.011776522,0.00612147,-0.011958251,-0.016135743
DECR1,-0.012635439,-0.011774776,-0.0140564665,-0.011847147,-0.016117133
DECR2,-0.0126352785,-0.011776572,-0.014052807,-0.0042393683,-0.01613886
DEF6,-0.012635428,-0.011775609,-0.014053623,-0.011843569,-0.016110232
DEFA1,-0.01263539,-0.011775819,-0.014053608,-0.011845626,-0.01610559
DEFA1B,-0.01263539,-0.011775819,-0.014053608,-0.011845626,-0.01610559
DEFA3,-0.012637499,-0.011766181,-0.014074237,-0.011779144,-0.016258415
DEFA5,-0.012637618,-0.011764272,-0.014079119,-0.011780275,-0.016279964
DEFA6,-0.012639438,-0.011755779,-0.014097303,-0.011723443,-0.016413314
DEFB1,-0.012640325,-0.011751899,-0.0141054755,-0.011694834,-0.016475897
DEFB104A,-0.012636294,-0.011767975,-0.014072798,-0.011830623,-0.016206702
DEFB104B,-0.012636294,-0.011767975,-0.014072798,-0.011830623,-0.016206702
DEFB121,-0.012635389,-0.011775824,-0.014053595,-0.011845697,-0.016105596
DEFB4A,-0.01263539,-0.011775819,-0.014053608,-0.011845626,-0.01610559
DEFB4B,-0.012637799,-0.011764671,-0.01407776,-0.011770335,-0.016281921
DEGS1,-0.012635379,-0.011775832,-0.014053614,-0.011845057,-0.0161051
DENND1A,-0.012635033,0.063845746,-0.014054242,-0.011835849,-0.016118424
DENND1B,-0.0126353195,-0.011775788,-0.014053584,-0.011841217,-0.016102968
DENND1C,-0.01263539,-0.011775819,-0.014053608,-0.011845626,-0.01610559
DENND4A,-0.012635391,-0.01177582,-0.014053611,-0.011845621,-0.016105598
DENND4C,-0.012634599,0.13766128,-0.014054123,-0.011828926,-0.016127996
DENND5A,-0.012634024,-0.011779414,0.0007620455,-0.011815372,-0.016064879
DEPDC1,-0.012635371,-0.011775212,-0.014053962,-0.011843908,-0.01610329
DEPDC1B,-0.012496538,-0.010746194,-0.013108252,-0.011127048,-0.029714333
DEPP1,-0.01263128,-0.01179062,-0.014062576,-0.011708172,0.048025135
DEPTOR,-0.012636097,-0.01177114,-0.014065191,-0.011829028,-0.016171876
DERL1,-0.012635646,-0.011774829,-0.0140558155,-0.011837053,-0.01612281
DERL2,-0.012635469,-0.011777325,-0.014056861,-0.011844348,-0.016104095
DERL3,-0.012635388,-0.011775854,-0.014053585,-0.0118457535,-0.016105564
DES,-0.012635125,-0.011774587,-0.014050501,-0.011852471,-0.016082646
DET1,-0.01263539,-0.011775819,-0.014053609,-0.011845624,-0.016105592
DFFA,-0.01263539,-0.011775813,-0.014053617,-0.01184553,-0.016105544
DFFB,-0.01263539,-0.011775819,-0.014053628,-0.011845338,-0.016105477
DGAT1,-0.012635406,-0.011775748,-0.014053764,-0.011845116,-0.016106738
DGAT2,-0.012633624,-0.011777428,0.02887297,-0.011883078,-0.016095176
DGCR8,-0.012635389,-0.011775838,-0.014053593,-0.011845698,-0.01610558
DGKB,-0.012664696,-0.011689579,-0.013824019,-0.011883716,-0.01876759
DGKQ,-0.012636506,-0.011771544,-0.014055013,-0.011814715,-0.016157823
DGLUCY,-0.012635509,-0.011786484,-0.014044476,-0.011978255,-0.01598378
DGUOK,-0.012635398,-0.011775554,-0.014053431,-0.011845593,-0.0161047
DHCR24,-0.012635387,-0.011775695,-0.014053684,-0.0118450755,-0.016105078
DHCR7,-0.012634825,-0.011775725,-0.012684556,-0.011852594,-0.0161111
DHFR2,-0.01263379,-0.0117817,-0.014058208,-0.011851484,-0.016079845
DHODH,-0.012635091,-0.0117736375,-0.014047118,0.0020179783,-0.016194219
DHPS,-0.01263539,-0.011775819,-0.014053609,-0.011845626,-0.01610559
DHRS1,-0.012635419,-0.0117758075,-0.014053582,-0.011845787,-0.01610587
DHRS3,-0.01263539,-0.011775799,-0.014053658,-0.011844747,-0.016105391
DHRS4,-0.012635401,-0.011776645,-0.014052899,-0.011855912,-0.016096167
DHRS7B,-0.012635855,-0.011784623,-0.01407262,-0.0118381595,-0.016096829
DHRS9,-0.012635321,-0.011775378,-0.014052685,-0.011846071,-0.016104573
DHTKD1,-0.012633595,-0.011783327,-0.014056046,-0.01183848,0.0014509198
DHX15,-0.012651065,-0.011713181,-0.014067909,-0.01146138,-0.01682638
DHX16,-0.012635533,-0.011775028,-0.014053651,-0.011837691,-0.016123522
DHX32,-0.012633445,-0.011784598,-0.014055143,-0.011880951,-0.0078134
DHX33,-0.012635466,-0.011777252,-0.014056705,-0.011844408,-0.016104175
DHX35,-0.012635385,-0.01177585,-0.01405353,-0.011846075,-0.016105631
DHX36,-0.012633828,-0.011781659,-0.014056973,-0.01184853,-0.016057296
DHX38,-0.012635156,-0.01177172,-0.014046391,-0.0051205233,-0.016171308
DHX58,-0.012635446,-0.011776883,-0.01405591,-0.011844722,-0.016104538
DHX8,-0.012635572,-0.011779249,-0.014061027,-0.0118427,-0.016102243
DHX9,-0.012635383,-0.011775774,-0.014053652,-0.011844934,-0.016105114
DIAPH2,0.27385396,-0.011784631,-0.012288021,-0.020776877,-0.004101397
DICER1,-0.012635169,-0.011781878,-0.014048779,-0.011917974,-0.016034966
DIDO1,-0.012635378,-0.011775891,-0.014053427,-0.011846651,-0.016105687
DIMT1,-0.012626268,-0.011717204,-0.013995275,-0.011826328,-0.016862486
