gene,relative_pos,arm_id,dist_centromere_norm,local_gene_density_1mb
A1BG,0.9954627665420864,1,0.5117744203379923,1.3011124508612117
A1CF,0.3881094971166324,1,0.07601240809487769,-1.0894548375933713
A2M,0.06906545850546232,0,0.17971697374923232,0.27232232708789444
A4GALT,0.8401232747978026,1,0.49122645341157356,0.5052755443222042
A4GNT,0.6961155233778314,1,0.22192681657325386,-0.32637969022337887
AAAS,0.40126397911661993,1,0.11587392169531854,1.2641918491137125
AACS,0.9382675867233706,1,0.6528775293020693,-1.2307738545230364
AADAT,0.8945502741461039,1,0.6188567291060756,-1.5759419633309955
AAK1,0.28697979003424484,0,0.08514287987082927,-0.017029909421994536
AAMP,0.901037991162913,1,0.5030106492091985,0.8146253251235881
AANAT,0.9170185962940425,1,0.5992658618654968,1.0150609726438022
AAR2,0.552814899424868,1,0.08633719325124171,0.5052755443222042
AARS2,0.25873685044929445,0,0.08430716682593474,0.355101691020533
AARSD1,0.5063042696730509,1,0.1885515352445052,1.2827941579041637
AASDHPPT,0.7848349445592685,1,0.3722622654746531,-1.5759419633309955
AASS,0.7650220738627168,1,0.37730988100610097,-0.9630406692626738
AATF,0.4354961271730192,1,0.11774339274447347,0.46945721631562914
ABAT,0.09765332986965279,0,0.2852816995692523,-1.0894548375933713
ABCA1,0.7620865858007515,1,0.4030555811649389,-0.32637969022337887
ABCA2,0.9907876716061095,1,0.6317566669702969,1.5168326984893743
ABCA7,0.017804863986921608,0,0.394852326480907,1.405510866043378
ABCB1,0.5481855279882552,1,0.16047333513163925,-0.6482494964473641
ABCB10,0.9214561455395531,1,0.4043059796428752,-0.8486851439675778
ABCB4,0.5471353086584622,1,0.15942311580184634,-0.6482494964473641
ABCB6,0.9049328881287865,1,0.5069055461750718,1.1039775616334782
ABCB7,0.4786723574642869,1,0.07292898924303487,-1.2307738545230364
ABCC1,0.17862983367349805,0,0.20430519576540704,-0.39911861997745324
ABCC11,0.533901979677815,1,0.10669700463903653,-1.3909881420032717
ABCC3,0.6002937981193718,1,0.2825410636908261,0.5738556314977947
ABCC8,0.12929926285928303,0,0.25290451166075567,0.13634775054327078
ABCC9,0.16453185066972717,0,0.08425058158496747,-0.2577996030477885
ABCD1,0.9853772634039576,1,0.5796338951827056,1.2452965785631422
ABCD2,0.29867877477565785,1,0.01328871735435647,-1.3909881420032717
ABCD3,0.38087772708096884,0,0.10658344558347159,-0.5593329074576887
ABCD4,0.6964246423412713,1,0.5185011971173794,0.7002697998284919
ABCE1,0.7639642756408964,1,0.4882707306008682,-0.9630406692626738
ABCF1,0.17854688973706798,0,0.1644971275381612,1.1867569255661157
ABCG1,0.9073809323706191,1,0.6102682958273646,0.13634775054327078
ABCG2,0.4660221987396191,1,0.1903286536995908,-0.017029909421994536
ABCG4,0.8816356834213839,1,0.46906300433676845,0.8679596559318693
ABCG8,0.18126939825622002,0,0.19085327164885413,-0.6482494964473641
ABHD12,0.40179660556549157,0,0.004388063755761159,-0.7442867287854121
ABHD5,0.22095341169179672,0,0.22293569723389417,-0.017029909421994536
ABHD6,0.29417036999293467,0,0.14971873893275625,-0.19292840563422506
ABI1,0.19989299865664706,0,0.08047790873878269,-0.7442867287854121
ABI2,0.839857070684142,1,0.44182972873042725,-0.7442867287854121
ABI3,0.5824750006804589,1,0.26472226625191314,0.729896610831026
ABL1,0.9466220390891855,1,0.5875910344533729,0.13634775054327078
ABL2,0.7186888493248729,1,0.20153868342819495,-0.32637969022337887
ABLIM2,0.042184763891967555,0,0.20996758660005074,-0.7442867287854121
ABLIM3,0.8212716577916092,1,0.5410299578929937,0.087368505760171
ABR,0.01256103038590577,0,0.2608541131921452,0.43253661456813
